query,completion
What is the phone number for the Department of Mathematics at COMSATS University Islamabad Attock Campus?,The phone number for the Department of Mathematics is +92-57-9316330-1.
How can I email the Head of Department for Mathematics?,You can email the Head of Department at either hod_math@ciit-attock.edu.pk or hod_math@cuiatk.edu.pk.
Where is the Mathematics Department located?,"The Department of Mathematics is located near Farooq-e-Azam Colony, Kamra Road, Attock, Pakistan."
When was the new website for the Mathematics Department launched?,The new website for the Mathematics Department was launched on 16 February 2026.
What programs are offered by the Department of Mathematics?,"The Department of Mathematics offers undergraduate programs such as BSM, graduate programs like Master of Science in Mathematics, and doctoral programs including PhD in Mathematics."
What undergraduate degree programs does CUI Attock Campus offer?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
What graduate (master's) programs are available at CUI Attock Campus?,"The graduate programs include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master of Science in Mathematics, and Master in Business Administration."
What doctoral (PhD) programs are offered at CUI Attock Campus?,"The doctoral programs are PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
How can I contact CUI Attock Campus?,"You can contact the campus at +92-57-9316330-1 or +92-57-9049158, and the address is Near Officers Colony, University Road Attock."
When was the Mathematics Department new website launched?,"The Mathematics Department new website was launched in 2026, with a post dated February 16, 2026."
What undergraduate degrees are listed on the website?,"The undergraduate degrees listed include Bachelor of Science in Computer Science (BCS), Bachelor of Science in Electrical Engineering (BEE), Bachelor of Science in Computer Engineering (BCE), Bachelor of Business Administration (BBA), Bachelor of Science in Mathematics (BSM), Bachelor of Science in Software Engineering, and Bachelor of Science in Artificial Intelligence."
How can I reach the university office located near Officers Colony?,"You can call +92-57-9316330-1 or +92-57-9049158, and the address is Near Officers Colony, University Road Attock."
Which PhD programs are offered?,"PhD programs are offered in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
What graduate (master's) programs are available in the engineering fields?,"Graduate programs include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master of Science in Mathematics, and a Master in Business Administration."
Where can I find information about the university's research and innovation activities?,The website includes a 'Research & Innovation' section under the main navigation menu.
What are the phone numbers to contact the university in Attock?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Which graduate programs are listed for the Master of Science degrees?,"The Master of Science graduate programs listed are Computer Science, Electrical Engineering, Computer Engineering, Mathematics, and Business Administration (MBA)."
Where is the university campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What is the mission of the Master of Science in Mathematics program?,The mission of the Master of Science in Mathematics program is to prepare students for research in both pure and applied mathematics.
What doctoral (PhD) programs does CUI offer?,"CUI offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can I contact CUI’s campus in Attock?,"You can call +92-57-9316330-1 or +92-57-9049158, or visit the campus near Officers Colony, University Road, Attock."
Which undergraduate degrees are available at CUI?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
What departments are part of CUI’s academic structure?,"CUI’s departments include Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
What are the contact phone numbers for COMSATS University Islamabad Attock Campus?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Which undergraduate programs are offered at CUI Attock Campus?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
What doctoral programs are available at the Attock Campus?,"Doctoral programs include PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
Where is the COMSATS University Islamabad Attock Campus located?,"It is located near Officers Colony, University Road Attock."
What is the phone number to contact COMSATS University Islamabad Attock Campus?,You can reach the campus at +92-57-9316330-1 or +92-57-9049158.
Which undergraduate degree programs are listed on the CUI Attock Campus website?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
What doctoral programs are available at COMSATS University Islamabad Attock Campus?,"The doctoral programs offered are PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
Where is the COMSATS University Islamabad Attock Campus located?,"The campus is located near Officers Colony, University Road Attock."
How many students received laptops in the recent distribution ceremony at COMSATS Attock Campus?,"A total of 178 deserving students were awarded laptops during the Laptop Distribution Ceremony at COMSATS University Islamabad, Attock Campus."
What scholarships are available for the Fall 2025 intake at COMSATS Attock?,"The Punjab Educational Endowment Fund (PEEF) announced a Masters Level Scholarship quota for the Fall 2025 and Spring 2026 intakes, offering scholarships to eligible students."
"What are the contact phone numbers for COMSATS University Islamabad, Attock Campus?",The campus can be reached at +92-57-9316330-1 and +92-57-9049158.
Where is COMSATS Attock Campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
Which doctoral programs are offered at COMSATS Attock Campus?,"Doctoral programs include PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
What are the contact phone numbers for the university?,The university can be reached at +92-57-9316330-1 and +92-57-9049158.
Where is the campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What graduate degree programs are offered?,"Graduate programs include Master of Science in Computer Science, Electrical Engineering, Computer Engineering, Mathematics, a Master in Business Administration, and PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
Which undergraduate degrees can students enroll in?,"Undergraduate degrees offered are BCS (Computer Science), BEE (Electrical Engineering), BCE (Computer Engineering), BBA (Business Administration), and BSM (Management Sciences)."
What are the phone numbers to contact the university?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the university located?,"The university is located near Officers Colony, University Road Attock."
Which campuses are part of the university?,"The university has the following campuses: Islamabad Campus, Abbottabad Campus, Wah Campus, Lahore Campus, Sahiwal Campus, Vehari Campus, and a Virtual Campus."
What graduate programs are offered in Computer Engineering?,The graduate programs in Computer Engineering are the Master of Science in Computer Engineering and the PhD in Computer Engineering.
What undergraduate degree programs are offered at CUI?,"CUI offers the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Which doctoral (PhD) programs are available at CUI?,"CUI provides PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
What are the contact phone numbers for the CUI campus in Attock?,You can reach the CUI Attock campus at +92-57-9316330-1 or +92-57-9049158.
When and where is the Convocation 2025 scheduled to take place?,The Convocation 2025 is scheduled for 22nd October 2025 and will be held at the AT Campus.
How can I apply for a Master of Science in Computer Science at CUI?,"To apply for the Master of Science in Computer Science, visit the CUI website and follow the ""How To Apply?"" section. Ensure you meet the ""Eligibility criteria MS"" requirements before submitting your application."
What are the contact phone numbers for the CUI campus near Officers Colony?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Which undergraduate degree programs are listed on the CUI website?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
What doctoral (PhD) programs does CUI offer?,"CUI offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
When is the 25th Year of Excellence Silver Jubilee Celebration scheduled?,"The 25th Year of Excellence Silver Jubilee Celebration is scheduled for December 26, 2025 at AT Campus."
What are the contact phone numbers for the university?,The university can be contacted at +92-57-9316330-1 and +92-57-9049158.
Where is the university located?,"The university is located near Officers Colony, University Road, Attock, Pakistan."
Which undergraduate degree programs are offered?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
What doctoral (PhD) programs does the university provide?,"The university offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
When is the 25th Year of Excellence Silver Jubilee Celebration scheduled?,"The 25th Year of Excellence Silver Jubilee Celebration is scheduled for December 26, 2025, at the AT Campus."
What undergraduate degree programs are listed on the CUI Attock Campus website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Which campuses are mentioned as part of CUI?,"The campuses mentioned are Islamabad Campus, Abbottabad Campus, Wah Campus, Lahore Campus, Sahiwal Campus, Vehari Campus, and a Virtual Campus."
How can I contact the CUI Attock Campus for admissions inquiries?,"You can contact the campus by calling +92-57-9316330-1 or +92-57-9049158, or by visiting the address near Officers Colony, University Road Attock."
What graduate programs are offered in the Computer Science department?,The graduate programs in Computer Science are the Master of Science in Computer Science and the PhD in Computer Science.
What undergraduate degree programs are listed on the CUI Attock Campus website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I contact the CUI Attock Campus office?,"You can call +92-57-9316330-1 or +92-57-9049158. The campus is located near Officers Colony, University Road, Attock."
Which campuses are part of the CUI network?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and also offers a Virtual Campus."
What graduate programs are available in Electrical Engineering at CUI?,CUI offers a Master of Science in Electrical Engineering and a PhD in Electrical Engineering.
When was the new website for the Electrical Engineering Department launched?,"The new website for the Electrical Engineering Department was launched on February 16, 2026."
What are the contact phone numbers for CUI Attock Campus?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the CUI Attock Campus located?,"It is located near Officers Colony, University Road, Attock, Pakistan."
Which campuses are part of CUI?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
What undergraduate degree programs are listed on the CUI website?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
What graduate programs are offered in the Computer Engineering department?,The graduate program offered is the Master of Science in Computer Engineering.
What undergraduate degree programs are available at CUI Attock Campus?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
How can I get in touch with the CUI Attock Campus office?,"You can call the campus at +92-57-9316330-1 or +92-57-9049158, or visit the address near Officers Colony, University Road Attock."
Which campuses are part of the CUI network?,"The CUI network includes Islamabad Campus, Abbottabad Campus, Wah Campus, Lahore Campus, Sahiwal Campus, Vehari Campus, and a Virtual Campus."
Where can I find information about scholarships offered by CUI?,Information about scholarships can be found under the "Scholarships" section listed in the website navigation menu.
On which social media platforms does CUI Attock Campus have a presence?,"CUI Attock Campus is present on Facebook, Instagram, LinkedIn, and YouTube."
What are the contact phone numbers for COMSATS University Attock?,The contact phone numbers listed are +92-57-9316330-1 and +92-57-9049158.
Which undergraduate degree programs are offered at COMSATS University Attock?,"The undergraduate programs mentioned are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
What doctoral (PhD) programs are available at COMSATS University Attock?,"The doctoral programs listed are PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
Where is the COMSATS University Attock campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What other campuses are part of the COMSATS University system?,"The other campuses mentioned are Islamabad Campus, Abbottabad Campus, Wah Campus, Lahore Campus, Sahiwal Campus, Vehari Campus, and a Virtual Campus."
What undergraduate degree programs are listed on the CUI website?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
"How can I reach the CUI campus located near Officers Colony, University Road Attock?","You can call +92-57-9316330-1 or +92-57-9049158, and the address is Near Officers Colony, University Road Attock."
Which doctoral (PhD) programs are mentioned for CUI?,"The PhD programs mentioned are PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
Where can I find information about upcoming events at CUI?,The events section currently shows “0 events found” and states there are no upcoming events.
What graduate (master’s) programs are offered at CUI?,"The graduate programs listed are Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
What undergraduate degree programs does CUI offer?,"CUI offers the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Which graduate (master's) programs are available at CUI?,"CUI provides Master of Science degrees in Computer Science, Electrical Engineering, Computer Engineering, and Mathematics, as well as a Master in Business Administration."
What doctoral (PhD) programs can I pursue at CUI?,"CUI offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can I contact CUI and where is it located?,"You can contact CUI by calling +92-57-9316330-1 or +92-57-9049158. The campus is located near Officers Colony, University Road, Attock, Pakistan."
Are there any upcoming events at CUI?,"According to the events calendar, there are no upcoming events; the calendar shows 0 events for all dates."
What undergraduate programs are listed on the CUI website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Which graduate degrees does CUI offer in the field of engineering?,"CUI offers Master of Science in Computer Engineering, Master of Science in Electrical Engineering, and a PhD in Computer Engineering as well as a PhD in Electrical Engineering."
"How can I reach the CUI office near Officers Colony, University Road Attock?","You can call the CUI office at +92-57-9316330-1 or +92-57-9049158. The address is Near Officers Colony, University Road Attock."
What campuses are part of CUI?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
"Are there any events scheduled for February 25, 2026?","No, there are no events found for February 25, 2026; the notice states there are no upcoming events."
What undergraduate degree programs are listed on the CUI website?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
"How can I reach the CUI office located near Officers Colony, University Road Attock?",You can call +92-57-9316330-1 or +92-57-9049158.
When is the 22nd October Convocation 2025 scheduled to take place?,"It is scheduled for October 22, 2025 at the campus."
Which departments offer graduate (Master’s) programs at CUI?,"Graduate programs are offered by the Department of Computer Science, Department of Electrical Engineering, Department of Computer Engineering, Department of Management Sciences, and Department of Mathematics."
"What event is planned for December 17, 2025 at the CUI campus?","An Open House & Job Fair is planned for December 17, 2025 at the campus."
